case,N,raw_order,two_order,three_order,four_order,raw_error,two_error,three_error,four_error
cap,4,1.9524847536297921,4.33833465150704396,5.97361662031420556,10.1274735693387635,0.268396938855471495,0.00299561595973013418,0.0000417481405880583647,1.22300891415832927e-8
triangle,4,1.96165682220666028,3.95341619809879476,5.65279982989133638,10.0293911493050657,0.0130796843848146926,0.000117428517876996073,2.56905344411450406e-7,1.10954357220632933e-9
latlon,4,1.99797286624677154,3.9997682519593775,5.99648813628093559,7.94075104925827636,0.000785507259361345604,3.68164546144452084e-7,3.94300310498134716e-12,1.52538116814152808e-16
irregular,4,1.99722264281641181,3.97112603942746462,5.965420240229286,8.06200939586790812,0.000706587489089124976,4.53857991454945084e-7,6.11665182847567862e-10,2.35524349096085505e-13
perturbed,4,1.99773540334164659,6.26891380462520329,2.2212920655048028,6.19625284405136556,0.00078597321015985452,4.11570001309180822e-7,2.1744998034914999e-8,4.39205805359348894e-9
